symbol,company,industry,series,isin
POWERGRID,Power Grid Corporation of India Ltd.,Power,EQ,INE752E01010
PREMIERENE,Premier Energies Ltd.,Capital Goods,EQ,INE0BS701011
PRESTIGE,Prestige Estates Projects Ltd.,Realty,EQ,INE811K01011
PNB,Punjab National Bank,Financial Services,EQ,INE160A01022
RRKABEL,R R Kabel Ltd.,Capital Goods,EQ,INE777K01022
RBLBANK,RBL Bank Ltd.,Financial Services,EQ,INE976G01028
RECLTD,REC Ltd.,Financial Services,EQ,INE020B01018
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,EQ,INE743M01012
RITES,RITES Ltd.,Construction,EQ,INE320J01015
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,EQ,INE944F01028
RVNL,Rail Vikas Nigam Ltd.,Construction,EQ,INE415G01027
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,EQ,INE0DD101019
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,EQ,INE961O01016
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,EQ,INE399G01023
REDINGTON,Redington Ltd.,Services,EQ,INE891D01026
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,EQ,INE002A01018
RPOWER,Reliance Power Ltd.,Power,EQ,INE614G01033
SBFC,SBFC Finance Ltd.,Financial Services,EQ,INE423Y01016
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,EQ,INE018E01016
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,EQ,INE123W01016
SJVN,SJVN Ltd.,Power,EQ,INE002L01015
SRF,SRF Ltd.,Chemicals,EQ,INE647A01010
SAGILITY,Sagility Ltd.,Information Technology,EQ,INE0W2G01015
SAILIFE,Sai Life Sciences Ltd.,Healthcare,EQ,INE570L01029
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,EQ,INE148I01020
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,EQ,INE775A01035
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,EQ,INE806T01020
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,EQ,INE385C01021
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,EQ,INE979A01025
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,EQ,INE513A01022
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,EQ,INE839M01018
SCI,Shipping Corporation of India Ltd.,Services,EQ,INE109A01011
SHREECEM,Shree Cement Ltd.,Construction Materials,EQ,INE070A01015
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,EQ,INE721A01047
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,EQ,INE810G01011
ENRIN,Siemens Energy India Ltd.,Capital Goods,EQ,INE1NPP01017
SIEMENS,Siemens Ltd.,Capital Goods,EQ,INE003A01024
SIGNATURE,Signatureglobal (India) Ltd.,Realty,EQ,INE903U01023
SOBHA,Sobha Ltd.,Realty,EQ,INE671H01015
SOLARINDS,Solar Industries India Ltd.,Chemicals,EQ,INE343H01029
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,EQ,INE073K01018
SONATSOFTW,Sonata Software Ltd.,Information Technology,EQ,INE269A01021
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,EQ,INE575P01011
SBIN,State Bank of India,Financial Services,EQ,INE062A01020
SAIL,Steel Authority of India Ltd.,Metals & Mining,EQ,INE114A01011
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,EQ,INE258G01013
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,EQ,INE044A01036
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,EQ,INE424H01027
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,EQ,INE660A01013
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,EQ,INE195A01028
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,EQ,INE663A01033
SUZLON,Suzlon Energy Ltd.,Capital Goods,EQ,INE040H01021
SWANCORP,Swan Corp Ltd.,Chemicals,EQ,INE665A01038
SWIGGY,Swiggy Ltd.,Consumer Services,EQ,INE00H001014
SYNGENE,Syngene International Ltd.,Healthcare,EQ,INE398R01022
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,EQ,INE0DYJ01015
TBOTEK,TBO Tek Ltd.,Consumer Services,EQ,INE673O01025
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,EQ,INE494B01023
TATACAP,Tata Capital Ltd.,Financial Services,EQ,INE976I01016
TATACHEM,Tata Chemicals Ltd.,Chemicals,EQ,INE092A01019
TATACOMM,Tata Communications Ltd.,Telecommunication,EQ,INE151A01013
TCS,Tata Consultancy Services Ltd.,Information Technology,EQ,INE467B01029
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE192A01025
TATAELXSI,Tata Elxsi Ltd.,Information Technology,EQ,INE670A01012
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,EQ,INE672A01026
TMCV,Tata Motors Ltd.,Capital Goods,EQ,INE1TAE01010
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,EQ,INE155A01022
TATAPOWER,Tata Power Co. Ltd.,Power,EQ,INE245A01021
TATASTEEL,Tata Steel Ltd.,Metals & Mining,EQ,INE081A01020
TATATECH,Tata Technologies Ltd.,Information Technology,EQ,INE142M01025
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,EQ,INE517B01013
TECHM,Tech Mahindra Ltd.,Information Technology,EQ,INE669C01036
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,EQ,INE285K01026
TEGA,Tega Industries Ltd.,Capital Goods,EQ,INE011K01018
TEJASNET,Tejas Networks Ltd.,Telecommunication,EQ,INE010J01012
TENNIND,Tenneco Clean Air India Ltd.,Automobile and Auto Components,EQ,INE19RI01016
NIACL,The New India Assurance Company Ltd.,Financial Services,EQ,INE470Y01017
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,EQ,INE331A01037
THERMAX,Thermax Ltd.,Capital Goods,EQ,INE152A01029
TIMKEN,Timken India Ltd.,Capital Goods,EQ,INE325A01013
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,EQ,INE615H01020
TITAN,Titan Company Ltd.,Consumer Durables,EQ,INE280A01028
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,EQ,INE685A01028
TORNTPOWER,Torrent Power Ltd.,Power,EQ,INE813H01021
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,EQ,INE763I01026
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,EQ,INE103V01028
TRENT,Trent Ltd.,Consumer Services,EQ,INE849A01020
TRIDENT,Trident Ltd.,Textiles,EQ,INE064C01022
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,EQ,INE152M01016
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,EQ,INE974X01010
UCOBANK,UCO Bank,Financial Services,EQ,INE691A01018
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,EQ,INE405E01023
UPL,UPL Ltd.,Chemicals,EQ,INE628A01036
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,EQ,INE094J01016
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,EQ,INE481G01011
UNIONBANK,Union Bank of India,Financial Services,EQ,INE692A01016
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,EQ,INE686F01025
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,EQ,INE854D01024
URBANCO,Urban Company Ltd.,Consumer Services,EQ,INE0CAZ01013
USHAMART,Usha Martin Ltd.,Capital Goods,EQ,INE228A01035
VTL,Vardhman Textiles Ltd.,Textiles,EQ,INE825A01020
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,EQ,INE200M01039
VEDL,Vedanta Ltd.,Metals & Mining,EQ,INE205A01025
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,EQ,INE043W01024
VMM,Vishal Mega Mart Ltd.,Consumer Services,EQ,INE01EA01019
IDEA,Vodafone Idea Ltd.,Telecommunication,EQ,INE669E01016
VOLTAS,Voltas Ltd.,Consumer Durables,EQ,INE226A01021
WAAREEENER,Waaree Energies Ltd.,Capital Goods,EQ,INE377N01017
WELCORP,Welspun Corp Ltd.,Capital Goods,EQ,INE191B01025
WELSPUNLIV,Welspun Living Ltd.,Textiles,EQ,INE192B01031
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,EQ,INE716A01013
WIPRO,Wipro Ltd.,Information Technology,EQ,INE075A01022
WOCKPHARMA,Wockhardt Ltd.,Healthcare,EQ,INE049B01025
YESBANK,Yes Bank Ltd.,Financial Services,EQ,INE528G01035
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,EQ,INE342J01019
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,EQ,INE256A01028
ZENTEC,Zen Technologies Ltd.,Capital Goods,EQ,INE251B01027
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,EQ,INE520A01027
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,EQ,INE010B01027
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,EQ,INE768C01028
ECLERX,eClerx Services Ltd.,Services,EQ,INE738I01010
